2026-01-11 16:03:26 |  central | CHANGE_PRICE | P010 Samsung Trifold (512 GB) | Price: £1899.00 -> £1899.00
2026-01-11 20:33:48 |  central | ADD_PHONE | P1000 TCL N9 (256 GB) | Price £499.00, Stock 100
2026-01-12 01:24:41 |  central | REMOVE_PHONE | P999 Apple iPhone Test (128GB) | Removed from inventory
2026-01-12 01:25:12 |  central | CHANGE_PRICE | P001 iPhone 17 (256 GB) | Price: £1000.00 -> £1000.00
2026-01-12 01:25:26 |  central | UPDATE_STOCK | P001 iPhone 17 (256 GB) | Stock: 98 -> 100
2026-01-13 21:56:14 |  central | ADD_PHONE | P021 Samsung S25 (256) | Price £1000.00, Stock 10
2026-01-13 22:04:36 |  central | REMOVE_PHONE | P021 Samsung S25 (256) | Removed from inventory
2026-01-13 22:19:27 |  central | UPDATE_STOCK | P020 OPP) Find X9 (256GB) | Stock: 100 -> 100
2026-01-13 22:24:08 |  central | CHANGE_PRICE | P001 Apple iPhone AIR (128GB) | Price: £1000.00 -> £1000.00
2026-01-14 00:05:09 |  central | CHANGE_PRICE | P010 Samsung Galaxy S25 Plus (256GB) | Price: £989.00 -> £989.00
2026-03-17 20:16:52 |  sales | CHANGE PRICE | P009 Samsung Galaxy S25 | Price changed from £699.00 to £599.00
2026-03-17 20:22:25 |  sales | UPDATE STOCK | P028 Apple iPhone 15 | Stock changed from 100 to 90
2026-03-29 11:32:11 | sales | REMOVE PHONE | P017 Gooogle Pixel 10 Pro Fold | Phone removed from inventory
2026-03-29 11:32:17 | sales | REMOVE PHONE | P033 samsung a41 | Phone removed from inventory
2026-03-29 13:01:55 | UNKNOWN | UPDATE STOCK | P026 Apple iPhone 15 Pro | Stock changed from 200 to 100
2026-03-29 13:02:06 | UNKNOWN | CHANGE PRICE | P028 Apple iPhone 15 | Price changed from £599.00 to £699.00
2026-03-29 13:10:49 | UNKNOWN | CHANGE PRICE | P015 Google Pixel 10 | Price changed from £799.00 to £749.00
2026-03-29 13:28:56 | UNKNOWN | ADD PHONE | P035 Apple iPhone AIR | Added with price £1000.00, stock 20, storage 512GB
2026-03-29 14:23:32 | UNKNOWN | UPDATE STOCK | P034 Samsung S26 | Stock changed from 70 to 75
2026-03-29 14:25:50 | UNKNOWN | CHANGE PRICE | P013 Samsung Fold 7 | Price changed from £1999.00 to £1899.00
2026-03-29 14:30:16 | UNKNOWN | REMOVE PHONE | P035 Apple iPhone AIR | Phone removed from inventory
2026-03-29 14:30:26 | UNKNOWN | UPDATE STOCK | P032 Asus ZenPhone8 | Stock changed from 36 to 40
2026-03-29 14:30:58 | UNKNOWN | CHANGE PRICE | P011 Samsung Galaxy S25 Ultra | Price changed from £1249.00 to £1149.00
2026-03-29 14:32:40 | UNKNOWN | ADD PHONE | P035 Apple iPhone 15 | Added with price £599.00, stock 20, storage 512GB
